NIMI ;OSOITE;POSTINUMERO;KUNTA;LUVAN ALKUPÄIVÄ;LUVAN SELITE;OSASTON NIMI;ASIAKASPAIKAT;
Rock baari Haagan Helmi;Näyttelijäntie 14 C;400;Helsinki;1.5.2019;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;24;
Rock baari Haagan Helmi;Näyttelijäntie 14 C;400;Helsinki;1.5.2019;Anniskelu A, kaikki alkoholijuomat;Terassi;8;
Rockn Roll Cafe;Harjukatu 4;8100;Lohja;1.12.2014;Anniskelu A, kaikki alkoholijuomat;Terassi;55;
Rockn Roll Cafe;Harjukatu 4;8100;Lohja;1.12.2014;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;130;
RockBar & Grill 82;Keskuspuistokatu 1;94100;Kemi;1.3.2019;Anniskelu A, kaikki alkoholijuomat;Sisätilat;74;
Rockravintola Grande;Maakuntakatu 29/Sampokeskus;96200;Rovaniemi;5.8.2011;Anniskelu A, kaikki alkoholijuomat;Terassi;40;
Rockravintola Grande;Maakuntakatu 29/Sampokeskus;96200;Rovaniemi;5.8.2011;Anniskelu A, kaikki alkoholijuomat;Sali;149;
Rock´n Roll Diner;Rantakatu 9;67100;Kokkola;25.4.2017;Anniskelu A, kaikki alkoholijuomat;Ravintolasali 1.krs;88;
Rock´n Roll Diner;Rantakatu 9;67100;Kokkola;25.4.2017;Anniskelu A, kaikki alkoholijuomat;Pubi, kellari;200;
Rock´n Roll Diner;Rantakatu 9;67100;Kokkola;25.4.2017;Anniskelu A, kaikki alkoholijuomat;Terassi;20;
Rodeo Steakhouse;Maakotkantie 19;1450;Vantaa;20.5.2020;Anniskelu A, kaikki alkoholijuomat;Terassi;70;
Rodeo Steakhouse;Maakotkantie 19;1450;Vantaa;20.5.2020;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;100;
Roihan Raitti;Keskuskatu 3;39700;Parkano;3.6.2020;Anniskelu A, kaikki alkoholijuomat;Ulkotila;60;
Roihan Raitti;Keskuskatu 3;39700;Parkano;3.6.2020;Anniskelu A, kaikki alkoholijuomat;Sisätila;15;
Roihuvuoren Rio;Roihuvuorentie 9 Lt. 2;820;Helsinki;17.4.2020;Ann.lupa sis. vähittäismyynnin;Sisätila;15;
Roihuvuoren Rio;Roihuvuorentie 9 Lt. 2;820;Helsinki;17.4.2020;Ann.lupa sis. vähittäismyynnin;Terassi;10;
Roja;Isokatu 14;67100;Kokkola;11.9.2017;Anniskelu A, kaikki alkoholijuomat;Terassi;40;
Roja;Isokatu 14;67100;Kokkola;11.9.2017;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;50;
Rok.SN Ravintola;Vuoreksen puistokatu 95;33870;Tampere;1.5.2019;Anniskelu A, kaikki alkoholijuomat;Rok.SN ravintola;20;
Roka Kitchen & Winebar;Koskikatu 8;96200;Rovaniemi;11.5.2018;Anniskelu A, kaikki alkoholijuomat;Terassi Valtakadun puoli;30;
Roka Kitchen & Winebar;Koskikatu 8;96200;Rovaniemi;11.5.2018;Anniskelu A, kaikki alkoholijuomat;Terassi Koskikadun puoli;70;
Roka Kitchen & Winebar;Koskikatu 8;96200;Rovaniemi;11.5.2018;Anniskelu A, kaikki alkoholijuomat;Ravintolasali 1. krs;100;
Roka Kitchen & Winebar;Koskikatu 8;96200;Rovaniemi;11.5.2018;Anniskelu A, kaikki alkoholijuomat;Ravintolasali katutaso;100;
Rokkalan Talli;Ratamonkatu 5;50100;Mikkeli;14.2.2020;Anniskelu A, kaikki alkoholijuomat;Kokoustila;20;
Rokkalan Talli;Ratamonkatu 5;50100;Mikkeli;14.2.2020;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;180;
Rokua Health & Spa;Kuntoraitti 2;91670;Utajärvi;1.1.1993;Anniskelu A, kaikki alkoholijuomat;Pihateltan terassi, tilaisuuksissa;150;
Rokua Health & Spa;Kuntoraitti 2;91670;Utajärvi;1.1.1993;Anniskelu A, kaikki alkoholijuomat;Ravintolasali 2;200;
Rokua Health & Spa;Kuntoraitti 2;91670;Utajärvi;1.1.1993;Anniskelu A, kaikki alkoholijuomat;Terassi 1.4.-31.10.;40;
Rokua Health & Spa;Kuntoraitti 2;91670;Utajärvi;1.1.1993;Anniskelu A, kaikki alkoholijuomat;Kokoushuone Telkkä;40;
Rokua Health & Spa;Kuntoraitti 2;91670;Utajärvi;1.1.1993;Anniskelu A, kaikki alkoholijuomat;Takkasauna;21;
Rokua Health & Spa;Kuntoraitti 2;91670;Utajärvi;1.1.1993;Anniskelu A, kaikki alkoholijuomat;Kabinetit Vaula ja Siiras;50;
Rokua Health & Spa;Kuntoraitti 2;91670;Utajärvi;1.1.1993;Anniskelu A, kaikki alkoholijuomat;Takkahuone Kota;32;
Rokua Health & Spa;Kuntoraitti 2;91670;Utajärvi;1.1.1993;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;304;
Rokua Health & Spa;Kuntoraitti 2;91670;Utajärvi;1.1.1993;Anniskelu A, kaikki alkoholijuomat;Pihateltta tilaisuuksissa;50;
Rokua Health & Spa;Kuntoraitti 2;91670;Utajärvi;1.1.1993;Anniskelu A, kaikki alkoholijuomat;Aulakahvion lisäalue;85;
Rokua Health & Spa;Kuntoraitti 2;91670;Utajärvi;1.1.1993;Anniskelu A, kaikki alkoholijuomat;Talvipuutarha;80;
Rokua Health & Spa;Kuntoraitti 2;91670;Utajärvi;1.1.1993;Anniskelu A, kaikki alkoholijuomat;Kokoushuone Kaakkuri;30;
Rokua Health & Spa;Kuntoraitti 2;91670;Utajärvi;1.1.1993;Anniskelu A, kaikki alkoholijuomat;Turvesauna;8;
Rokua Health & Spa;Kuntoraitti 2;91670;Utajärvi;1.1.1993;Anniskelu A, kaikki alkoholijuomat;Auditorio;80;
Rokua Health & Spa;Kuntoraitti 2;91670;Utajärvi;1.1.1993;Anniskelu A, kaikki alkoholijuomat;Liikuntasali;600;
Rokua Health & Spa;Kuntoraitti 2;91670;Utajärvi;1.1.1993;Anniskelu A, kaikki alkoholijuomat;Kokoushuone Ahvero;78;
Rokua Health & Spa;Kuntoraitti 2;91670;Utajärvi;1.1.1993;Anniskelu A, kaikki alkoholijuomat;Aulan kahvio;200;
Rokua Health & Spa;Kuntoraitti 2;91670;Utajärvi;1.1.1993;Anniskelu A, kaikki alkoholijuomat;Kokoushuone Kammi;28;
Romekievari;Romekievarintie 1;93280;Pudasjärvi;14.11.2014;Anniskelu A, kaikki alkoholijuomat;Ravintolasali 2/Sauna Pub & Bar;100;
Romekievari;Romekievarintie 1;93280;Pudasjärvi;14.11.2014;Anniskelu A, kaikki alkoholijuomat;Ravintolasali 3;40;
Romekievari;Romekievarintie 1;93280;Pudasjärvi;14.11.2014;Anniskelu A, kaikki alkoholijuomat;Ulkoterassi;150;
Romekievari;Romekievarintie 1;93280;Pudasjärvi;14.11.2014;Anniskelu A, kaikki alkoholijuomat;Ravintolasali 1/Kotasali;60;
Room Bulevard;Bulevardi 26;120;Helsinki;19.9.2016;Anniskelu A, kaikki alkoholijuomat;Sisäpihan terassi;40;
Room Bulevard;Bulevardi 26;120;Helsinki;19.9.2016;Anniskelu A, kaikki alkoholijuomat;Sali + Baari;50;
Room Bulevard;Bulevardi 26;120;Helsinki;19.9.2016;Anniskelu A, kaikki alkoholijuomat;Terassi (kadun puoli);10;
Rooperante;Jäämerentie 19;99600;Sodankylä;28.10.2016;Anniskelu A, kaikki alkoholijuomat;Pub/sali;70;
Rooperante;Jäämerentie 19;99600;Sodankylä;28.10.2016;Anniskelu A, kaikki alkoholijuomat;Terassi 1.4.-31.10.;50;
Rooperante;Jäämerentie 19;99600;Sodankylä;28.10.2016;Anniskelu A, kaikki alkoholijuomat;Teltta 1.4.-31.10.;50;
Roots Helsinki;Eurantie 8-10;550;Helsinki;10.4.2019;Anniskelu A, kaikki alkoholijuomat;Ulkoterassi;15;
Roots Helsinki;Eurantie 8-10;550;Helsinki;10.4.2019;Anniskelu A, kaikki alkoholijuomat;Kahvila;24;
Rosalan Viikinkikeskus /;Reimarintie 5;25950;Kemiönsaari;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Päällikön halli Rodeborg;64;
Rosalan Viikinkikeskus /;Reimarintie 5;25950;Kemiönsaari;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Kahvila;30;
Rosanne;Laukaantie 22-24;41340;Laukaa;16.12.2002;Anniskelu A, kaikki alkoholijuomat;Kabinetti;40;
Rosanne;Laukaantie 22-24;41340;Laukaa;16.12.2002;Anniskelu A, kaikki alkoholijuomat;Sali;85;
Rosanne;Laukaantie 22-24;41340;Laukaa;16.12.2002;Anniskelu A, kaikki alkoholijuomat;Terassi(1.4-31.10);80;
Rosmarinin kabinetti;Pentinpolku 1;52700;Mäntyharju;20.3.2019;Anniskelu A, kaikki alkoholijuomat;Rosmarinin kabinetti;50;
Rosso;Ahlströminkatu 21-23;78250;Varkaus;1.1.1960;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;150;
Rosso;Naaranpajuntie 3;3100;Vihti;15.2.2019;Anniskelu A, kaikki alkoholijuomat;Terassi;40;
Rosso;Naaranpajuntie 3;3100;Vihti;15.2.2019;Anniskelu A, kaikki alkoholijuomat;Sali;112;
Rosso Jyväskeskus;Asemakatu 9;40100;Jyväskylä;28.3.1994;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;280;
Rosso Jyväskeskus;Asemakatu 9;40100;Jyväskylä;28.3.1994;Anniskelu A, kaikki alkoholijuomat;Terassi (1.4.-31.10.);55;
Rosso Kerava;Kauppakaari 2;4200;Kerava;6.10.2005;Anniskelu A, kaikki alkoholijuomat;Terassi;60;
Rosso Kerava;Kauppakaari 2;4200;Kerava;6.10.2005;Anniskelu A, kaikki alkoholijuomat;Sali;150;
Rosso Kirkkopuisto;Kauppakatu 19;40100;Jyväskylä;14.11.1984;Anniskelu A, kaikki alkoholijuomat;Sali;92;
Rosso Kirkkopuisto;Kauppakatu 19;40100;Jyväskylä;14.11.1984;Anniskelu A, kaikki alkoholijuomat;Terassi (1.4. - 31.10.);36;
Rosso Kuusankoski/Hospoda Papirna;Kauppakatu 1;45700;Kouvola;1.1.2013;Anniskelu A, kaikki alkoholijuomat;Rosso;96;
Rosso Kuusankoski/Hospoda Papirna;Kauppakatu 1;45700;Kouvola;1.1.2013;Anniskelu A, kaikki alkoholijuomat;Terassi;100;
Rosso Kuusankoski/Hospoda Papirna;Kauppakatu 1;45700;Kouvola;1.1.2013;Anniskelu A, kaikki alkoholijuomat;Hospoda Papirna;80;
Rosso Seinäjoki ja Fafa´s Seinäjoki;Koulukatu 14;60100;Seinäjoki;11.9.2008;Anniskelu A, kaikki alkoholijuomat;Rosso (sali);123;
Rosso Seinäjoki ja Fafa´s Seinäjoki;Koulukatu 14;60100;Seinäjoki;11.9.2008;Anniskelu A, kaikki alkoholijuomat;Rosson kesäterassi (15.4. - 31.10.);100;
Rosso Seinäjoki ja Fafa´s Seinäjoki;Koulukatu 14;60100;Seinäjoki;11.9.2008;Anniskelu A, kaikki alkoholijuomat;Fafa´s;19;
Rosso Zeppelin;Zeppelinintie 1;90450;Kempele;1.1.2009;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;157;
Rosson kulma;Kauppakatu 21;87100;Kajaani;1.1.1960;Anniskelu A, kaikki alkoholijuomat;Rosson ravintolasali;110;
Rosson kulma;Kauppakatu 21;87100;Kajaani;1.1.1960;Anniskelu A, kaikki alkoholijuomat;Olutravintola Hospo;80;
Rosson kulma;Kauppakatu 21;87100;Kajaani;1.1.1960;Anniskelu A, kaikki alkoholijuomat;Rosson/Hospon terassi 1.4. - 31.10.;300;
Roster Turku;Tuomiokirkonkatu 6;20500;Turku;6.5.2019;Anniskelu A, kaikki alkoholijuomat;Ravintolasali alakerta;50;
Roster Turku;Tuomiokirkonkatu 6;20500;Turku;6.5.2019;Anniskelu A, kaikki alkoholijuomat;Ravintolasali yläkerta;50;
Roster Turku;Tuomiokirkonkatu 6;20500;Turku;6.5.2019;Anniskelu A, kaikki alkoholijuomat;Etuterassi;56;
Rosvopaistiravintola Pop-Cafe;Mäenpääntie 43;49660;Hamina;21.9.2001;Anniskelu A, kaikki alkoholijuomat;ulkoterassi;24;
Rosvopaistiravintola Pop-Cafe;Mäenpääntie 43;49660;Hamina;21.9.2001;Anniskelu A, kaikki alkoholijuomat;ravintolasali;50;
Rosvopaistiravintola Pop-Cafe;Mäenpääntie 43;49660;Hamina;21.9.2001;Anniskelu A, kaikki alkoholijuomat;Kabinetti;30;
Rousal Brygghus Tap Room;Norrlandsvägen 210;25950;Kemiönsaari;21.6.2020;Ann.lupa sis. vähittäismyynnin;Gräsplan;13;
Rousal Brygghus Tap Room;Norrlandsvägen 210;25950;Kemiönsaari;21.6.2020;Ann.lupa sis. vähittäismyynnin;Fiskebod;10;
Rousal Brygghus Tap Room;Norrlandsvägen 210;25950;Kemiönsaari;21.6.2020;Ann.lupa sis. vähittäismyynnin;Flotte 2;6;
Rousal Brygghus Tap Room;Norrlandsvägen 210;25950;Kemiönsaari;21.6.2020;Ann.lupa sis. vähittäismyynnin;Flotte 1;6;
Rousal Brygghus Tap Room;Norrlandsvägen 210;25950;Kemiönsaari;21.6.2020;Ann.lupa sis. vähittäismyynnin;Bakra terass;15;
Rousal Brygghus Tap Room;Norrlandsvägen 210;25950;Kemiönsaari;21.6.2020;Ann.lupa sis. vähittäismyynnin;Främre terass;10;
Roustin Lato;Rantakatu 13;80100;Joensuu;1.6.2020;Määräaikainen A, kaikki alkoholijuomat;Teranssi;250;
Roustin Lato;Rantakatu 13;80100;Joensuu;1.6.2020;Määräaikainen A, kaikki alkoholijuomat;Sisätila;40;
Routakallion Speedwayrata;Syrjämäentie;60200;Seinäjoki;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Sali;60;
Route 12 Grilli;Satakunnankatu 1;27510;Eura;10.9.2020;Ann.lupa sis. vähittäismyynnin;Terassi (etupiha);8;
Route 12 Grilli;Satakunnankatu 1;27510;Eura;10.9.2020;Ann.lupa sis. vähittäismyynnin;Terassi (takapiha);8;
Route 12 Grilli;Satakunnankatu 1;27510;Eura;10.9.2020;Ann.lupa sis. vähittäismyynnin;Ravintolan asiakastila;12;
Route 24;Joenkulmantie 2;17130;Asikkala;15.5.2017;Anniskelu A, kaikki alkoholijuomat;Pub;80;
Route 24;Joenkulmantie 2;17130;Asikkala;15.5.2017;Anniskelu A, kaikki alkoholijuomat;Kahvila;90;
Route 24;Joenkulmantie 2;17130;Asikkala;15.5.2017;Anniskelu A, kaikki alkoholijuomat;Terassi;40;
Rovaniemen Oluthuone;Koskikatu 20;96200;Rovaniemi;26.4.2018;Anniskelu A, kaikki alkoholijuomat;Oluthuone katutaso;60;
Rovaniemen Oluthuone;Koskikatu 20;96200;Rovaniemi;26.4.2018;Anniskelu A, kaikki alkoholijuomat;Oluthuoneen kellari;40;
Rovaniemen Paras Pizza;Pulkamontie 6;96900;Rovaniemi;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Rovaniemen Paras Pizza;50;
Rovaniemen Paras Pizza;Pulkamontie 6;96900;Rovaniemi;1.3.2018;Anniskelu A, kaikki alkoholijuomat;ulkoterassi;32;
Rovaniemen asemaravintola;Ratakatu 3;96100;Rovaniemi;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Kabinetti;10;
Rovaniemen asemaravintola;Ratakatu 3;96100;Rovaniemi;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Kahvila/Pub;88;
Rovaniemen asemaravintola;Ratakatu 3;96100;Rovaniemi;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Baari;10;
Rovaniemen asemaravintola;Ratakatu 3;96100;Rovaniemi;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Kesäparveke 1.4.-31.10.;20;
Rovaniemen asemaravintola;Ratakatu 3;96100;Rovaniemi;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Kesäterassi radanpuoli 1.4.-31.10.;20;
Rovaniemen asemaravintola;Ratakatu 3;96100;Rovaniemi;1.1.2001;Anniskelu A, kaikki alkoholijuomat;Ruokailu;52;
Rovaniemi Cafe;Rovaniemen lentoasema;96930;Rovaniemi;15.9.2010;Anniskelu A, kaikki alkoholijuomat;Hello cafe airside;500;
Rovaniemi Cafe;Rovaniemen lentoasema;96930;Rovaniemi;15.9.2010;Anniskelu A, kaikki alkoholijuomat;Hello cafe landside;220;
Roxx Cafe & Pub;Palvelukeskus, Itäsatama;10900;Hanko;13.11.2008;Anniskelu A, kaikki alkoholijuomat;Pub;80;
Roxx Cafe & Pub;Palvelukeskus, Itäsatama;10900;Hanko;13.11.2008;Anniskelu A, kaikki alkoholijuomat;Sali;52;
Roxx Cafe & Pub;Palvelukeskus, Itäsatama;10900;Hanko;13.11.2008;Anniskelu A, kaikki alkoholijuomat;Terassi;140;
Royal Bar;Asemanaukio 2;4200;Kerava;24.2.2016;Anniskelu A, kaikki alkoholijuomat;Red Moon, 2 krs;120;
Royal Bar;Asemanaukio 2;4200;Kerava;24.2.2016;Anniskelu A, kaikki alkoholijuomat;Terassi;30;
Royal Bar;Asemanaukio 2;4200;Kerava;24.2.2016;Anniskelu A, kaikki alkoholijuomat;Pubi;40;
Royal Gurkha;Rauhankatu 16;15100;Lahti;15.6.2020;Anniskelu A, kaikki alkoholijuomat;Sali;40;
Royal Gurkha;Rauhankatu 16;15100;Lahti;15.6.2020;Anniskelu A, kaikki alkoholijuomat;Terassi;20;
Royal Mekong;Torikatu 7;5800;Hyvinkää;18.10.2012;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;100;
Royal Mekong;Torikatu 7;5800;Hyvinkää;18.10.2012;Anniskelu A, kaikki alkoholijuomat;Terassi;60;
RoyalCat ravintolalaiva;Pohjoisranta 4;170;Helsinki;3.5.2007;Anniskelu A, kaikki alkoholijuomat;Ulkokansi;66;
RoyalCat ravintolalaiva;Pohjoisranta 4;170;Helsinki;3.5.2007;Anniskelu A, kaikki alkoholijuomat;Sisäsalonki;75;
RoyalCat ravintolalaiva;Pohjoisranta 4;170;Helsinki;3.5.2007;Anniskelu A, kaikki alkoholijuomat;Peräkansi;19;
Ruango Ravintola;Tinankuja 2;2430;Kirkkonummi;27.3.2020;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;49;
Ruarmiäs;Poroholmantie 8;26100;Rauma;7.5.2013;Anniskelu A, kaikki alkoholijuomat;Ruarmiäs/Terassi;200;
Ruarmiäs;Poroholmantie 8;26100;Rauma;7.5.2013;Anniskelu A, kaikki alkoholijuomat;Ruarmiähen pihalaajennus;600;
Ruarmiäs;Poroholmantie 8;26100;Rauma;7.5.2013;Anniskelu A, kaikki alkoholijuomat;Augustin pihalaajennus;1800;
Ruarmiäs;Poroholmantie 8;26100;Rauma;7.5.2013;Anniskelu A, kaikki alkoholijuomat;Blomqvistin taverna;49;
Ruarmiäs;Poroholmantie 8;26100;Rauma;7.5.2013;Anniskelu A, kaikki alkoholijuomat;Ruarmiäs/Baari;15;
Ruarmiäs;Poroholmantie 8;26100;Rauma;7.5.2013;Anniskelu A, kaikki alkoholijuomat;Augustin ravintolasali;80;
Ruby & Fellas Irish Bar;Hämeenkatu 15;33200;Tampere;6.4.2018;Ann.lupa sis. vähittäismyynnin;Ravintolasali;175;
Ruby & Fellas Irish Bar;Hämeenkatu 15;33200;Tampere;6.4.2018;Ann.lupa sis. vähittäismyynnin;Terassi;200;
Ruby & Fellas Irish Bar;Hämeenkatu 15;33200;Tampere;6.4.2018;Ann.lupa sis. vähittäismyynnin;Night Club;75;
Rubyhouse;Hanneksentie 1;62200;Kauhava;15.4.2020;Määräaikainen A, kaikki alkoholijuomat;Sisätila (166m2);48;
Ruffi;Vellamontie 12;90500;Oulu;5.1.2018;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;760;
Ruffi;Vellamontie 12;90500;Oulu;5.1.2018;Anniskelu A, kaikki alkoholijuomat;Skanssi 1 + 2 + aula;110;
Ruffi;Vellamontie 12;90500;Oulu;5.1.2018;Anniskelu A, kaikki alkoholijuomat;Aulabaari;160;
Ruffi;Vellamontie 12;90500;Oulu;5.1.2018;Anniskelu A, kaikki alkoholijuomat;Aula ja juhlatila;130;
Ruffi;Vellamontie 12;90500;Oulu;5.1.2018;Anniskelu A, kaikki alkoholijuomat;Kota;16;
Ruffi;Vellamontie 12;90500;Oulu;5.1.2018;Anniskelu A, kaikki alkoholijuomat;Future Power;300;
Ruffi;Vellamontie 12;90500;Oulu;5.1.2018;Anniskelu A, kaikki alkoholijuomat;Kajaanisali + huoneet 4 kpl;180;
Ruffi;Vellamontie 12;90500;Oulu;5.1.2018;Anniskelu A, kaikki alkoholijuomat;Aulatilat kokouspuoli;55;
Ruffi;Vellamontie 12;90500;Oulu;5.1.2018;Anniskelu A, kaikki alkoholijuomat;Uleasali;190;
Ruffi;Vellamontie 12;90500;Oulu;5.1.2018;Anniskelu A, kaikki alkoholijuomat;VIP-tila;70;
Ruffi;Vellamontie 12;90500;Oulu;5.1.2018;Anniskelu A, kaikki alkoholijuomat;Tornio- ja Kemi-sali;160;
Ruffi;Vellamontie 12;90500;Oulu;5.1.2018;Anniskelu A, kaikki alkoholijuomat;Pietarsaari ja Raahe;155;
Ruffi;Vellamontie 12;90500;Oulu;5.1.2018;Anniskelu A, kaikki alkoholijuomat;Terassi;70;
Rui Xiang;Kauppakatu 19 B;44100;Äänekoski;15.3.2019;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;30;
Ruiskuhuone;Rantakatu 35;92100;Raahe;1.5.2018;Anniskelu A, kaikki alkoholijuomat;Takaterassi;460;
Ruiskuhuone;Rantakatu 35;92100;Raahe;1.5.2018;Anniskelu A, kaikki alkoholijuomat;Pruuta;120;
Ruiskuhuone;Rantakatu 35;92100;Raahe;1.5.2018;Anniskelu A, kaikki alkoholijuomat;Kahvila;20;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Saunaos.Aulatila;50;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Pukuhuoneet Yht.;55;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Allasosasto;150;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Villa Santala Alak.;63;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Villa Santala Yläk.;18;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Ulkolaavu;30;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Kapteeninsali 5.Krs;160;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Terassi;300;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Juhlatila 1. krs;150;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Juhlatilan terassi;80;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Aulatila (laaj.osa 1.krs);50;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Kokoustila (laaj.osa 1.krs);12;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Päiväsali ja aula (laaj.osa 2. krs);40;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;fysioterasia/juhlatila laajosa 2 kr;30;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Aulatila (laaj. osa 3. krs);30;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Ravintolasali 1.Krs;210;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Baari 1.Krs;82;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Baari 5.Krs;26;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Kokous- ja ryhmätilat  1krs;250;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Aulatila 1.Krs;150;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Parveke 2.Krs;30;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Ulkopatio;180;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Kok .huone 1.Krs;18;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Kabinetti 5.Krs;20;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Villa Marinan terassi;30;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Villa Marinan kuisti;10;
Ruissalon Kylpylä ja;Ruissalon puistotie 640;20100;Turku;1.2.2007;Anniskelu A, kaikki alkoholijuomat;Villa Marina;20;
Ruissalon Maininki;Pursiseuranranta 30;20100;Turku;15.4.2019;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;70;
Ruissalon Maininki;Pursiseuranranta 30;20100;Turku;15.4.2019;Anniskelu A, kaikki alkoholijuomat;Terassi 2;20;
Ruissalon Maininki;Pursiseuranranta 30;20100;Turku;15.4.2019;Anniskelu A, kaikki alkoholijuomat;Terassi 1;30;
Ruissalon Maininki;Pursiseuranranta 30;20100;Turku;15.4.2019;Anniskelu A, kaikki alkoholijuomat;Baari;20;
Ruissalon telakka;Hevoskarintie 23;20100;Turku;20.4.2018;Ann.lupa sis. vähittäismyynnin;Stenbäck terassi;250;
Ruissalon telakka;Hevoskarintie 23;20100;Turku;20.4.2018;Ann.lupa sis. vähittäismyynnin;Joakim terassi;40;
Ruissalon telakka;Hevoskarintie 23;20100;Turku;20.4.2018;Ann.lupa sis. vähittäismyynnin;Teatteriravintola;350;
Ruissalon telakka;Hevoskarintie 23;20100;Turku;20.4.2018;Ann.lupa sis. vähittäismyynnin;Lindblom;830;
Ruissalon telakka;Hevoskarintie 23;20100;Turku;20.4.2018;Ann.lupa sis. vähittäismyynnin;Westin;400;
Ruissalon telakka;Hevoskarintie 23;20100;Turku;20.4.2018;Ann.lupa sis. vähittäismyynnin;Joakim;40;
Ruissalon telakka;Hevoskarintie 23;20100;Turku;20.4.2018;Ann.lupa sis. vähittäismyynnin;Al Mare;100;
Ruissalon telakka;Hevoskarintie 23;20100;Turku;20.4.2018;Ann.lupa sis. vähittäismyynnin;Estlander 1;550;
